town,county,lat,lon
addingham,bradford,53.93,-1.89
addingham moorside,bradford,53.91,-1.89
addington,cornwall,50.45,-4.46
addington,buckinghamshire,51.94,-0.92
addington,croydon,51.35,-0.03
addington,kent,51.30,0.36
addiscombe,croydon,51.37,-0.07
addlestone,surrey,51.36,-0.5
addlestonemoor,surrey,51.37,-0.5
addlethorpe,lincolnshire,53.18,0.3
adel,leeds,53.84,-1.59
adeney,shropshire,52.75,-2.44
adeyfield,hertfordshire,51.75,-0.45
adforton,hereford and worcester,52.33,-2.88
adgestone,isle of wight,50.66,-1.16
adisham,kent,51.23,1.17
adlestrop,gloucestershire,51.94,-1.65
adlington,cheshire,53.31,-2.13
adlington,lancashire,53.61,-2.6
adlington park,wigan,53.59,-2.63
admaston,shropshire,52.70,-2.54
admaston,staffordshire,52.80,-1.92
admington,warwickshire,52.11,-1.7
adsborough,somerset,51.05,-3.04
adscombe,somerset,51.12,-3.17
adstock,buckinghamshire,51.96,-0.93
adstone,northamptonshire,52.15,-1.13
adswood,stockport,53.38,-2.18
adur,west sussex,50.96,-0.09
adversane,west sussex,50.99,-0.47
adwalton,leeds,53.74,-1.65
adwell,oxfordshire,51.68,-1.0
adwick le street,doncaster,53.55,-1.2
adwick upon dearne,doncaster,53.50,-1.29
affetside,bolton,53.61,-2.37
affpuddle,dorset,50.73,-2.28
afon y foel,conwy,52.98,-3.85
afton,isle of wight,50.67,-1.52
agar nook,leicestershire,52.72,-1.33
agbrigg,wakefield,53.66,-1.48
aggborough,hereford and worcester,52.37,-2.25
agglethorpe,north yorkshire,54.27,-1.87
aglionby,cumbria,54.89,-2.87
aigburth,liverpool,53.36,-2.93
aiketgate,cumbria,54.80,-2.81
aikton,cumbria,54.86,-3.13
ailby,lincolnshire,53.26,0.14
ailstone,warwickshire,52.14,-1.7
ailsworth,cambridgeshire,52.56,-0.36
aimes green,essex,51.69,0.01
ainderby quernhow,north yorkshire,54.21,-1.48
ainderby steeple,north yorkshire,54.32,-1.49
aingers green,essex,51.83,1.06
ainsdale,sefton,53.60,-3.04
ainsdale-on-sea,sefton,53.60,-3.07
ainstable,cumbria,54.80,-2.73
ainsworth,bury,53.58,-2.36
ainthorpe,north yorkshire,54.46,-0.92
aintree,sefton,53.47,-2.95
aire,wakefield,53.73,-1.3
aire,lincolnshire,53.69,-1.02
aire,north yorkshire,53.70,-1.07
aire and calder navigation,north yorkshire,53.71,-1.24
aire and calder navigation,lincolnshire,53.66,-1.0
aire and calder navigation,north yorkshire,53.65,-1.02
airedale,wakefield,53.71,-1.31
aire view,north yorkshire,53.91,-2.01
airth,falkirk,56.06,-3.78
airthrey castle,stirling,56.14,-3.91
airton,north yorkshire,54.02,-2.15
airy hill,north yorkshire,54.46,-0.62
aisby,lincolnshire,53.41,-0.69
aisby,lincolnshire,52.93,-0.49
aish,devon,50.41,-3.63
aish,devon,50.42,-3.84
aisholt,somerset,51.10,-3.15
aiskew,north yorkshire,54.28,-1.58
aislaby,stockton-on-tees,54.50,-1.38
aislaby,north yorkshire,54.46,-0.69
aislaby,north yorkshire,54.25,-0.81
aisthorpe,lincolnshire,53.30,-0.59
akeld,northumberland,55.55,-2.08
akeley,buckinghamshire,52.02,-0.98
akenham,suffolk,52.08,1.12
albany,sunderland,54.90,-1.54
alberbury,shropshire,52.72,-2.94
albert village,derbyshire,52.75,-1.55
albourne,west sussex,50.92,-0.2
albourne green,west sussex,50.92,-0.2
albrighton,shropshire,52.63,-2.28
albrighton,shropshire,52.75,-2.75
alburgh,norfolk,52.42,1.33
albury,surrey,51.21,-0.49
albury,hertfordshire,51.89,0.07
albury end,hertfordshire,51.88,0.06
albury heath,surrey,51.20,-0.48
albyfield,cumbria,54.86,-2.71
alby hill,norfolk,52.85,1.25
alcaston,shropshire,52.47,-2.81
alcester,dorset,50.99,-2.21
alcester,warwickshire,52.21,-1.88
alcester lane's end,birmingham,52.41,-1.89
alciston,east sussex,50.82,0.12
alcombe,somerset,51.19,-3.47
alconbury,cambridgeshire,52.36,-0.26
alconbury weston,cambridgeshire,52.36,-0.28
aldborough,north yorkshire,54.08,-1.38
aldborough,norfolk,52.85,1.23
aldborough hatch,redbridge,51.58,0.09
aldbourne,wiltshire,51.47,-1.62
aldbrough st john,north yorkshire,54.49,-1.69
aldbury,hertfordshire,51.79,-0.6
aldcliffe,lancashire,54.03,-2.82
alde,suffolk,52.27,1.33
aldeburgh,suffolk,52.14,1.59
aldeby,norfolk,52.48,1.6
aldenham,hertfordshire,51.66,-0.36
alderbrook,east sussex,51.04,0.16
alderbury,wiltshire,51.03,-1.74
aldercar,derbyshire,53.01,-1.34
alderford,norfolk,52.71,1.13
alder forest,salford,53.48,-2.37
alderholt,dorset,50.90,-1.83
alderley,gloucestershire,51.60,-2.34
alderley edge,cheshire,53.29,-2.24
alderman's green,coventry,52.44,-1.48
aldermaston soke,berkshire,51.36,-1.12
aldermaston wharf,berkshire,51.39,-1.13
alderminster,warwickshire,52.13,-1.66
aldermmaston,berkshire,51.38,-1.15
alder moor,staffordshire,52.84,-1.67
alderney,poole,50.74,-1.94
alder row,somerset,51.18,-2.33
aldersbrook,redbridge,51.56,0.01
alder's end,hereford and worcester,52.04,-2.55
aldersey green,cheshire,53.09,-2.8
aldershawe,staffordshire,52.66,-1.85
aldershot,hampshire,51.24,-0.76
alderton,suffolk,52.01,1.4
alderton,northamptonshire,52.10,-0.92
alderton,gloucestershire,51.99,-2.0
alderton,wiltshire,51.53,-2.24
alderton,shropshire,52.80,-2.75
alderton fields,gloucestershire,51.98,-2.0
alderwasley,derbyshire,53.07,-1.53
aldfield,north yorkshire,54.11,-1.6
aldford,cheshire,53.12,-2.88
aldford brook,cheshire,53.13,-2.87
aldgate,rutland,52.62,-0.55
aldham,suffolk,52.06,0.97
aldham,essex,51.89,0.78
aldingbourne,west sussex,50.83,-0.69
aldingham,cumbria,54.13,-3.1
aldington,kent,51.08,0.94
aldington,hereford and worcester,52.09,-1.91
aldington frith,kent,51.08,0.91
aldon,shropshire,52.40,-2.83
aldoth,cumbria,54.81,-3.34
aldreth,cambridgeshire,52.33,0.11
aldridge,walsall,52.59,-1.92
aldringham,suffolk,52.18,1.56
aldsworth,gloucestershire,51.78,-1.78
aldwark,north yorkshire,54.06,-1.29
aldwark,derbyshire,53.11,-1.67
aldwarke,rotherham,53.44,-1.33
aldwick,west sussex,50.77,-0.71
aldwincle,northamptonshire,52.41,-0.53
aldworth,berkshire,51.50,-1.2
ale oak,shropshire,52.44,-3.14
aley,somerset,51.12,-3.17
aley green,hertfordshire,51.85,-0.46
alfardisworthy,cornwall,50.87,-4.43
alfington,devon,50.77,-3.26
alfold,surrey,51.09,-0.53
alfold bars,west sussex,51.08,-0.53
alfold crossways,surrey,51.10,-0.51
alford,somerset,51.08,-2.57
alford,lincolnshire,53.25,0.17
alfred's well,hereford and worcester,52.34,-2.08
alfreton,derbyshire,53.09,-1.38
alfrick,hereford and worcester,52.17,-2.38
alfrick pound,hereford and worcester,52.16,-2.38
alfriston,east sussex,50.80,0.14
algakirk,lincolnshire,52.89,-0.08
alhampton,somerset,51.10,-2.54
alkerton,oxfordshire,52.07,-1.46
alkerton,gloucestershire,51.74,-2.33
alkham,kent,51.13,1.21
alkington,shropshire,52.93,-2.71
alkmonton,derbyshire,52.93,-1.73
alkrington garden village,rochdale,53.53,-2.19
allaleigh,devon,50.36,-3.68
allan water,stirling,56.15,-3.95
allaston,gloucestershire,51.73,-2.53
allbrook,hampshire,50.98,-1.36
all cannings,wiltshire,51.34,-1.9
allen,cornwall,50.29,-5.04
allen,northumberland,54.95,-2.32
allen,dorset,50.88,-1.98
allendale town,northumberland,54.88,-2.26
allen end,warwickshire,52.56,-1.76
allenheads,northumberland,54.80,-2.23
allensford,northumberland,54.84,-1.89
allen's green,hertfordshire,51.82,0.1
allensmore,hereford and worcester,52.01,-2.78
allenwood,cumbria,54.88,-2.79
aller,somerset,51.05,-2.85
aller,devon,50.84,-3.35
aller,dorset,50.81,-2.34
aller,devon,50.50,-3.59
allerby,cumbria,54.73,-3.43
allercombe,devon,50.73,-3.36
allerford,somerset,51.21,-3.57
allerford,somerset,51.01,-3.18
aller grove,devon,50.75,-3.34
aller park,devon,50.50,-3.59
allerston,north yorkshire,54.22,-0.66
allerton,bradford,53.80,-1.83
allerton,liverpool,53.36,-2.88
allerton bywater,leeds,53.73,-1.36
allerton mauleverer,north yorkshire,54.01,-1.37
allesley,coventry,52.42,-1.57
allet,cornwall,50.29,-5.1
allexton,leicestershire,52.59,-0.8
allgreave,staffordshire,53.19,-2.04
allhallows,kent,51.46,0.63
allhallows-on-sea,kent,51.47,0.63
allimore green,staffordshire,52.76,-2.22
allington,wiltshire,51.15,-1.71
allington,dorset,50.73,-2.76
allington,kent,51.28,0.49
allington,wiltshire,51.47,-2.15
allington,wiltshire,51.36,-1.91
allington,lincolnshire,52.95,-0.73
allington bar,wiltshire,51.46,-2.15
allithwaite,cumbria,54.17,-2.95
alloa,falkirk,56.10,-3.8
allonby,cumbria,54.77,-3.43
allostock,cheshire,53.23,-2.39
allowenshay,somerset,50.91,-2.86
all saints,devon,50.80,-2.99
all saints south elmham,suffolk,52.38,1.43
allscot,shropshire,52.56,-2.39
allscott,shropshire,52.71,-2.57
all stretton,shropshire,52.55,-2.79
allwood green,suffolk,52.30,0.99
alma,nottinghamshire,53.06,-1.3
almeley,hereford and worcester,52.15,-2.98
almeley wooton,hereford and worcester,52.16,-2.98
almer,dorset,50.78,-2.12
almholme,doncaster,53.56,-1.12
almington,staffordshire,52.90,-2.44
alminstone cross,devon,50.95,-4.36
almshouse green,essex,51.96,0.54
aln,northumberland,55.40,-1.86
alne,warwickshire,52.27,-1.78
alne,north yorkshire,54.07,-1.25
alne end,warwickshire,52.22,-1.84
alne hills,warwickshire,52.23,-1.84
alne station,north yorkshire,54.08,-1.23
alnham,northumberland,55.38,-2.01
alnmouth,northumberland,55.38,-1.62
alnwick,northumberland,55.41,-1.71
alphamstone,essex,51.98,0.72
alpheton,suffolk,52.11,0.74
alphington,devon,50.69,-3.54
alpington,norfolk,52.55,1.37
alport,derbyshire,53.17,-1.67
alpraham,cheshire,53.12,-2.62
alresford,essex,51.84,0.98
alrewas,staffordshire,52.72,-1.76
alsager,cheshire,53.09,-2.31
alsagers bank,staffordshire,53.02,-2.29
alscot,buckinghamshire,51.72,-0.84
alsop en le dale,derbyshire,53.09,-1.76
alston,devon,50.81,-2.99
alston,cumbria,54.80,-2.45
alstone,somerset,51.20,-2.98
alstone,gloucestershire,51.89,-2.1
alstone,gloucestershire,51.98,-2.03
alstonefield,staffordshire,53.09,-1.8
alston sutton,somerset,51.25,-2.84
alswear,devon,50.98,-3.82
alt,sefton,53.51,-2.97
alt,lancashire,53.50,-2.87
alt,oldham,53.52,-2.09
altarnun,cornwall,50.60,-4.51
altbough,hereford and worcester,51.96,-2.67
altham,lancashire,53.78,-2.35
althorne,essex,51.64,0.75
altmore,berkshire,51.50,-0.77
altofts,wakefield,53.70,-1.44
alton,hampshire,51.14,-0.98
alton,wiltshire,51.21,-1.78
alton,staffordshire,52.97,-1.89
alton,derbyshire,53.17,-1.46
alton barnes,wiltshire,51.35,-1.85
alton pancras,dorset,50.81,-2.44
alton priors,wiltshire,51.35,-1.84
alton water reservoir,suffolk,51.98,1.12
altskeith,stirling,56.18,-4.48
alum rock,birmingham,52.48,-1.83
alva,clackmannan,56.14,-3.8
alvanley,cheshire,53.25,-2.76
alvechurch,hereford and worcester,52.34,-1.97
alvecote,staffordshire,52.63,-1.64
alvediston,wiltshire,51.00,-2.04
alveley,shropshire,52.45,-2.35
alverdiscott,devon,51.00,-4.12
alverstoke,hampshire,50.77,-1.16
alverstone,isle of wight,50.66,-1.19
alverthorpe,wakefield,53.68,-1.53
alverton,nottinghamshire,52.96,-0.82
alvescot,oxfordshire,51.73,-1.61
alveston,warwickshire,52.20,-1.66
alveston hill,warwickshire,52.18,-1.67
alvingham,lincolnshire,53.39,0.04
alvington,somerset,50.93,-2.68
alvington,gloucestershire,51.69,-2.58
alwalton,cambridgeshire,52.54,-0.33
alwen,conwy,53.01,-3.47
alwen reservoir,conwy,53.07,-3.58
alweston,dorset,50.92,-2.48
alwington,devon,50.98,-4.28
alwinton,northumberland,55.34,-2.12
alwoodley,leeds,53.85,-1.54
alwoodley gates,leeds,53.85,-1.53
alwoodley park,leeds,53.85,-1.56
amalebra,cornwall,50.17,-5.51
amalveor,cornwall,50.17,-5.53
ambaston,derbyshire,52.88,-1.37
amber,derbyshire,53.06,-1.48
amberley,west sussex,50.90,-0.53
amberley,hereford and worcester,52.11,-2.67
amberley,gloucestershire,51.70,-2.21
amble,northumberland,55.32,-1.57
amblecote,dudley,52.46,-2.16
ambler thorn,bradford,53.75,-1.86
ambleside,cumbria,54.42,-2.97
ambrosden,oxfordshire,51.86,-1.12
amen corner,berkshire,51.40,-0.79
amersham,buckinghamshire,51.67,-0.61
amersham common,buckinghamshire,51.66,-0.61
amersham old town,buckinghamshire,51.66,-0.62
amersham on the hill,buckinghamshire,51.67,-0.61
amerton,staffordshire,52.84,-2.01
amesbury,wiltshire,51.16,-1.78
ameysford,dorset,50.81,-1.9
amington,staffordshire,52.63,-1.66
ammerham,dorset,50.84,-2.91
amotherby,north yorkshire,54.14,-0.86
ampfield,hampshire,51.00,-1.43
ampleforth,north yorkshire,54.19,-1.11
ampney crucis,gloucestershire,51.70,-1.91
ampney st mary,gloucestershire,51.71,-1.88
ampney st peter,gloucestershire,51.70,-1.88
amport,hampshire,51.19,-1.58
ampthill,bedfordshire,52.02,-0.5
ampton,suffolk,52.30,0.72
amwell,hertfordshire,51.80,-0.31
ancaster,lincolnshire,52.97,-0.54
anchor,shropshire,52.45,-3.22
anchor corner,norfolk,52.54,0.94
anchorsholme,lancashire,53.87,-3.03
anchor street,norfolk,52.76,1.42
ancoats,manchester,53.47,-2.22
ancroft,northumberland,55.69,-2.0
ancroft northmoor,northumberland,55.69,-2.06
ancton,west sussex,50.79,-0.61
anderby,lincolnshire,53.25,0.27
anderby creek,lincolnshire,53.25,0.3
andersea,somerset,51.09,-2.95
andersfield,somerset,51.10,-3.08
anderson,dorset,50.77,-2.18
anderton,cornwall,50.33,-4.22
anderton,lancashire,53.61,-2.6
anderton,cheshire,53.27,-2.54
andertons mill,lancashire,53.62,-2.74
andover,hampshire,51.20,-1.48
andover down,hampshire,51.20,-1.44
andoversford,gloucestershire,51.86,-1.97
andwell,hampshire,51.26,-1.01
anerley,croydon,51.40,-0.07
anfield,liverpool,53.43,-2.94
angarrack,cornwall,50.19,-5.39
angarrick,cornwall,50.19,-5.09
angelbank,shropshire,52.38,-2.63
angersleigh,somerset,50.96,-3.15
angerton,cumbria,54.90,-3.21
angmering,west sussex,50.82,-0.49
angram,north yorkshire,53.92,-1.2
angram,north yorkshire,54.38,-2.18
angram reservoir,north yorkshire,54.17,-1.93
anick,northumberland,54.98,-2.07
anker,warwickshire,52.62,-1.7
anker,leicestershire,52.58,-1.55
ankerdine hill,hereford and worcester,52.20,-2.39
anmer,norfolk,52.83,0.58
anmore,hampshire,50.89,-1.04
annas,cumbria,54.27,-3.39
annaside,cumbria,54.26,-3.39
anna valley,hampshire,51.18,-1.51
annesley,nottinghamshire,53.07,-1.25
annesley woodhouse,nottinghamshire,53.07,-1.27
annfield plain,durham,54.85,-1.73
annis hill,suffolk,52.44,1.45
annscroft,shropshire,52.65,-2.81
ann's hill,hampshire,50.79,-1.16
annwell place,leicestershire,52.75,-1.49
ansdell,lancashire,53.74,-3.0
ansells end,hertfordshire,51.84,-0.33
ansford,somerset,51.09,-2.52
ansley,warwickshire,52.51,-1.57
ansley common,warwickshire,52.53,-1.54
anslow,staffordshire,52.82,-1.68
anslow gate,staffordshire,52.81,-1.71
ansteadbrook,surrey,51.07,-0.67
anstey,hertfordshire,51.96,0.03
anstey,leicestershire,52.66,-1.2
ansty,wiltshire,51.03,-2.07
ansty,west sussex,50.99,-0.16
ansty,warwickshire,52.44,-1.42
ansty coombe,wiltshire,51.03,-2.07
ansty cross,dorset,50.82,-2.34
ant,norfolk,52.73,1.49
anthill common,hampshire,50.90,-1.09
anthony,cornwall,50.36,-4.26
anthony's cross,gloucestershire,51.90,-2.42
anthorn,cumbria,54.91,-3.26
antingham,norfolk,52.84,1.34
anton,hampshire,51.21,-1.37
anton's gowt,lincolnshire,53.00,-0.06
antonshill,falkirk,56.02,-3.81
antony passage,cornwall,50.39,-4.23
antrobus,cheshire,53.30,-2.54
anvil green,kent,51.20,1.0
anvilles,berkshire,51.38,-1.51
anwick,lincolnshire,53.03,-0.34
apedale,staffordshire,53.03,-2.28
apedale beck,north yorkshire,54.37,-1.98
aperfield,surrey,51.30,0.03
apes dale,hereford and worcester,52.34,-2.01
apethorpe,northamptonshire,52.54,-0.49
apeton,staffordshire,52.75,-2.22
apley,lincolnshire,53.26,-0.35
apley forge,shropshire,52.57,-2.44
apperknowle,derbyshire,53.29,-1.43
apperley,gloucestershire,51.95,-2.2
apperley bridge,bradford,53.82,-1.71
apperley dene,northumberland,54.91,-1.92
appersett,north yorkshire,54.30,-2.23
appleby-in-westmoorland,cumbria,54.57,-2.49
appleby magna,leicestershire,52.67,-1.54
appleby parva,warwickshire,52.66,-1.55
appledore,devon,51.04,-4.19
appledore,kent,51.02,0.77
appledore,devon,50.91,-3.33
appledore heath,kent,51.03,0.78
appleford,oxfordshire,51.63,-1.25
applehouse hill,berkshire,51.53,-0.8
applemore,hampshire,50.86,-1.44
appleshaw,hampshire,51.23,-1.57
applethwaite,cumbria,54.61,-3.14
appleton,oxfordshire,51.70,-1.36
appleton,cheshire,53.36,-2.73
appleton-le-moors,north yorkshire,54.27,-0.88
appleton-le-street,north yorkshire,54.14,-0.88
appleton park,cheshire,53.35,-2.58
appleton roebuck,north yorkshire,53.87,-1.16
appleton thorn,cheshire,53.34,-2.55
appleton wiske,north yorkshire,54.43,-1.4
appletreewick,north yorkshire,54.03,-1.92
appley,somerset,50.98,-3.32
appley,isle of wight,50.72,-1.15
appley bridge,lancashire,53.57,-2.72
apse heath,isle of wight,50.64,-1.2
apsey green,suffolk,52.21,1.32
apsley,hertfordshire,51.73,-0.48
apsley end,bedfordshire,51.97,-0.37
apuldram,west sussex,50.82,-0.8
aqueduct,shropshire,52.64,-2.47
arborfield,berkshire,51.39,-0.92
arborfield cross,berkshire,51.39,-0.9
arborfield garrison,berkshire,51.37,-0.9
arbourthorne,sheffield,53.36,-1.44
arbury,cambridgeshire,52.21,0.1
archdeacon newton,darlington,54.54,-1.61
archenfield,hereford and worcester,52.07,-3.08
arckle beck,north yorkshire,54.44,-2.04
arclid,cheshire,53.15,-2.33
arclid green,cheshire,53.14,-2.33
ardchullarie more,stirling,56.28,-4.29
ardchyle,stirling,56.43,-4.4
ardeley,hertfordshire,51.92,-0.11
arden park,stockport,53.41,-2.13
ardens grafton,warwickshire,52.18,-1.84
ardeonaig,stirling,56.48,-4.17
ardingly,west sussex,51.04,-0.08
ardingly reservoir,west sussex,51.04,-0.1
ardington,oxfordshire,51.58,-1.38
ardington wick,oxfordshire,51.59,-1.38
ardleigh,essex,51.92,0.98
ardleigh heath,essex,51.93,0.96
ardleigh reservoir,essex,51.92,0.96
ardley,oxfordshire,51.93,-1.21
ardley end,essex,51.80,0.2
ardsley,barnsley,53.54,-1.42
ardwick,manchester,53.46,-2.22
areley kings,hereford and worcester,52.32,-2.29
arford,hampshire,51.11,-0.82
argoed,shropshire,52.44,-3.03
argoed,shropshire,52.77,-3.0
argos hill,east sussex,51.03,0.23
arkendale,north yorkshire,54.03,-1.42
arkesden,essex,51.98,0.15
arkholme,lancashire,54.13,-2.64
arkle beck,north yorkshire,54.39,-1.94
arkleby,cumbria,54.73,-3.33
arkle town,north yorkshire,54.41,-2.0
arkley,barnet,51.64,-0.23
arksey,doncaster,53.54,-1.14
arkwright town,derbyshire,53.22,-1.37
arle,gloucestershire,51.90,-2.11
arlebrook,gloucestershire,51.77,-2.27
arlecdon,cumbria,54.55,-3.48
arlescote,warwickshire,52.12,-1.43
arlesey,bedfordshire,52.00,-0.26
arleston,shropshire,52.68,-2.5
arley,cheshire,53.32,-2.49
arley green,cheshire,53.31,-2.48
arlingham,gloucestershire,51.78,-2.43
arlington,devon,51.14,-3.98
arlington,east sussex,50.84,0.18
arlington,gloucestershire,51.75,-1.85
arlington beccott,devon,51.15,-3.98
arlington reservoir,east sussex,50.84,0.18
armathwaite,cumbria,54.80,-2.77
armigers,essex,51.92,0.31
arminghall,norfolk,52.58,1.32
armitage,staffordshire,52.74,-1.89
armley,leeds,53.79,-1.59
armscote,warwickshire,52.09,-1.65
armsdale,staffordshire,52.88,-2.35
armshead,staffordshire,53.02,-2.1
armston,northamptonshire,52.45,-0.44
armthorpe,doncaster,53.52,-1.06
arnaby,cumbria,54.24,-3.26
arncliffe,north yorkshire,54.13,-2.1
arndale gill,north yorkshire,54.44,-1.93
arne,dorset,50.69,-2.04
arnesby,leicestershire,52.52,-1.1
arn gill,durham,54.61,-1.91
arnold,nottinghamshire,52.99,-1.12
arno's vale,city of bristol,51.43,-2.57
arnprior,stirling,56.11,-4.23
arnside,cumbria,54.19,-2.84
arpinge,kent,51.10,1.12
arrad foot,cumbria,54.21,-3.07
arrathorne,north yorkshire,54.33,-1.69
arreton,isle of wight,50.67,-1.23
